Concurrency,Scatter,Sobel,Gather
4,1,1,1
9,1.01589167,2.14433974,1.41432131
16,1.15734977,3.91030835,1.34293994
25,1.1119381,6.09144043,1.25417533
36,1.14247607,4.21847789,1.32699451
49,1.03407854,10.8775627,1.28570071
64,1.13095491,13.2446871,1.23550572
81,1.17991085,17.5242149,1.2268626
