Concurrency,Scatter,Sobel,Gather
4,1,1,1
9,0.979515703,2.24295164,1.06337851
16,0.987766966,3.81353923,1.01962409
25,0.939533375,3.9719857,0.958976505
36,0.935746026,8.14739162,1.02133582
49,0.994361592,10.8398941,1.08831182
64,1.07029802,13.1943216,1.03580019
81,0.972703599,11.0915726,0.973966095
